Account,Token Account,Quantity,Percentage
29ceMB1sExDXsNJK9ghESybFKFZDDnShXZnddXMZgH8t,8PqQy4HE4mnXRf5h8tQWwcGK7XnaG53evapvZ2SJaS5Q,1119723.812446,0.11
CQHiSi1REDiogpryzZuaAqMZ6d8EYNE9Tbim9ab84GcA,6oksNj7Soa5ibo3U7jRWJoZBF5yS3ucuDig9KZKKm9rv,1109379.197545,0.11
4FMo9mLkouJ1s8748kWEkwtvWTYfi3HDGhVFhUB4hzCX,Ecp1TvuKKnhacvo95xyzjJAt86eRzZkgRGTMgfsQTNB,1101060.351431,0.11
5EbgZ6SuPx1Zgrz6JSuVpDoRVkScaZcJ9E71E4pXJViz,CHUeaFBrYwyZN8uWUps12TJxqWndkaoanV1aJkTweUse,1097368.374958,0.11
FcsC4REpQmKK6v6aqSDzvb8bCREAVy2pyAryXrnPTxYo,b2JSvfa555cL5TTz4mmss6eGDtTg3YvxrgF54UgXpZr,1091794.718153,0.11
9dp3qNEkuYSR2C4GUvgfmBwbfmP2wfv4kM233DNz3HYf,98CvnjTbhPvNujWZJpRw36jebaT1FvFQGNKTi8ejwca7,1084453.520254,0.11
AMRhYaT1gmcQuhmSDrAoVLJtVrK1mPKyfsa2kVtcGatX,86B4cQUyUXb4ZrcAxhv6W4BZuL8SZkaCvN3puepr1zRT,1056723.543982,0.11
37u9KrFXHA7dDaaEMvpXjq9NDg8NdTyYXhfC8bHZBCBN,Bh7tVBdHTuSkvv8pGqCjSLaPmdTLjvTHtJiXMhp8jdKA,1056498.075252,0.11
4qm7sJy6U3Mx1xJEWa9yhsFKU8NLTvm2MyW3TcnH1WZz,8jxhusJ4MzDx7hEiTKjWpnC8EioCMB4d9vh6PW5t2KCw,1055478.694454,0.11
9fHDL3RaE8xQz3mimq993WnFC38NXuYEgETvAXRJuwUo,5g2KYoxZ4skS2ef5rgNgrA3K8ABHEzqGvXk3F4bgPtb4,1045504.208871,0.10
26gfwKgnm9ZsNWRt4PaMkBNA6a46V6Z2AVNo5qrGnr2H,EQaB6P1TK3v84gD243WApXX2F2ttzJQN5o2UKBPoYzXr,1034026.191488,0.10
7TLGi57w3Z1zw67pC3cKFcpWGCsLMQqxyMWXKFxzfVUo,Ar31rgVweHLB3YX23zpwrHP8ySBxSwgzb2thzeKVw4JY,1023861.006089,0.10
6R77wPs6XhqXygH5hbhdPwZJDN3TKtJMD28jRwiXLqGo,CqMiRb2tMowpMTbUzMbkySpsq45MsbJqNLyfbqDLxKkU,1019622.933023,0.10
2BbfX5w76dxVzgpFFJuL2ZzUtUzVfHDcVv9xQoxWKgBR,5iPrsVhj3ziTRigpKnGX9ijazA7t6YS9pHPYpMFw9gc2,1017148.130122,0.10
C4TMqUJdvHKFWyLAbgnkVQqju7e1PG1QxBkURTjMN775,JC2WYq2JBiRi2Q7mJojCAgJvZxBv2NJ61Df1fnZYmtGS,1011822.249566,0.10
7CEq7oKoSoeNdshpgHnwB5kUZHip7RoKzPQKog4fnRvu,BJxdvCPrX6kzshNZ7LnuBvWNpbhbjiGvieQwMjXTX2DL,1007178.347956,0.10
HVeSJebD8KJvcBm4QDXWjGHzzNxjdTtsaYEKhUa8t5Xc,GpeuPVmXfLofWoQPMXwJwFJyjmuUdauYH2VVqWfirAxN,1007159.074492,0.10
31bRpCmTyGjQBNetNyaj54ktEMK7NAcrK8HEVmiydC3S,8Lzp2korrRqVtjSA24FFV7MBuVSWSJSkN335SsauDFWm,1005133.913788,0.10
BrAQk7XLSA5uLRmysX4WzQmwpNjhqtdFtv4hL6erL8B4,FrFNHu39ecWwxjnDRrzK2kA7oyeFrrJ9vAmXVj9u4Ydt,1001163.162064,0.10
9g9FLhwMMCpfu6MJFu1pWMshPCc1ixLnN1wEKtugADTQ,DLvuGEzhixdc5myGHy8XvQ8DwDxBimYiFsREeeWJZoAh,1000691.855661,0.10
G3QYDNepboAqmoWgegTb9QVmCUpitjzmuEyLtPWLnpSh,F6JTZhauBnpS99H74QgRdeSgMpk3vmGRA7w1HJ7P9sXX,1000262.915805,0.10
H8Q1ceSe8tAYuhqZ84f3HywbJCqRun3PYpTykjZKSuP1,5vm1nT7Vkx8twRDEEn64ifXBmnhKBu41jWX71YNQWw4M,1000005.75713,0.10
7o7objq2h4sAaJNwjnZyEmHUiaMwZPf2AuApnoLrRdXK,EJDYrrR5gb22nbRuWWYUbNzHEv45W5mUTQJJV5UeaR7p,1000001.056098,0.10
7FD57PCThbRqosKJPx6XYeqRQwZ2RxYL7HS9NbfiJLkL,6QX8rrRXZiium84cjMDU6zt9rnQdq73MS2BEUp3PFHgA,1000000.083746,0.10
